conv_id,Original_Labels,Top_3_Emotion_Pred,1st_Emotion_Pred,2nd_Emotion_Pred,3rd_Emotion_Pred,Pred_Emo_Position
hit:3008_conv:6016,caring,"['compassionate', 'sad', 'grateful']",compassionate,sad,grateful,
hit:68_conv:137,prepared,"['relieved', ' anxious', ' grateful']",relieved,anxious,grateful,
hit:1663_conv:3326,devastated,"['angry', 'sad', 'frustrated']",angry,sad,frustrated,
hit:2037_conv:4074,embarrassed,"['embarrassed', 'amused', 'surprised']",embarrassed,amused,surprised,1.0
hit:1333_conv:2666,grateful,"['grateful', 'relieved', 'surprised']",grateful,relieved,surprised,1.0
hit:3000_conv:6001,apprehensive,"['anxious', 'apprehensive', 'worried']",anxious,apprehensive,worried,2.0
hit:10158_conv:20316,apprehensive,"['proud', ' relieved', ' grateful']",proud,relieved,grateful,
hit:10161_conv:20322,trusting,"['grateful', ' relieved', ' hopeful']",grateful,relieved,hopeful,
hit:4986_conv:9973,grateful,"['grateful', 'surprised', 'thankful']",grateful,surprised,thankful,1.0
hit:5147_conv:10294,guilty,"['guilty', 'sad', 'comforting']",guilty,sad,comforting,1.0
hit:9028_conv:18056,apprehensive,"['worried', 'sad', 'hopeful']",worried,sad,hopeful,
hit:9159_conv:18319,terrified,"['afraid', 'excited', 'relieved']",afraid,excited,relieved,
hit:2184_conv:4369,grateful,"['grateful', ' relieved', ' anxious']",grateful,relieved,anxious,1.0
hit:5221_conv:10443,anxious,"['anxious', 'hopeful', 'forgetful']",anxious,hopeful,forgetful,1.0
hit:9208_conv:18416,terrified,"['afraid', 'anxious', 'concerned']",afraid,anxious,concerned,
hit:12262_conv:24524,furious,"['worried', ' nostalgic', ' surprised']",worried,nostalgic,surprised,
hit:12297_conv:24594,devastated,"['sad', 'angry', 'hurt']",sad,angry,hurt,
hit:1311_conv:2623,confident,"['excited', ' hopeful', ' concerned']",excited,hopeful,concerned,
hit:1695_conv:3391,anxious,"['anxious', ' frustrated', ' annoyed']",anxious,frustrated,annoyed,1.0
hit:2131_conv:4263,grateful,"['excited', ' grateful', ' happy']",excited,grateful,happy,2.0
hit:3697_conv:7394,grateful,"['grateful', 'happy', 'content']",grateful,happy,content,1.0
hit:4586_conv:9173,trusting,"['happy', 'trusting', 'annoyed']",happy,trusting,annoyed,2.0
hit:7143_conv:14286,disgusted,"['disgusted', 'surprised', 'curious']",disgusted,surprised,curious,1.0
hit:1793_conv:3587,anxious,"['relieved', 'sad', 'anxious']",relieved,sad,anxious,3.0
hit:6238_conv:12476,devastated,"['sad', 'grateful', 'heartbroken']",sad,grateful,heartbroken,
hit:267_conv:534,caring,"['tired', 'content', 'relieved']",tired,content,relieved,
hit:3691_conv:7382,caring,"['happy', 'excited', 'content']",happy,excited,content,
hit:7283_conv:14567,annoyed,"['annoyed', 'disappointed', 'frustrated']",annoyed,disappointed,frustrated,1.0
hit:8195_conv:16390,disgusted,"['sad', 'disgusted', 'understanding']",sad,disgusted,understanding,2.0
hit:4454_conv:8908,angry,"['annoyed', 'sad', 'frustrated']",annoyed,sad,frustrated,
hit:5230_conv:10460,grateful,"['excited', 'happy', 'content']",excited,happy,content,
hit:907_conv:1814,afraid,"['afraid', 'anxious', 'comforting']",afraid,anxious,comforting,1.0
hit:1016_conv:2033,nostalgic,"['sad', ' disappointed', ' understanding']",sad,disappointed,understanding,
hit:1411_conv:2822,jealous,"['disappointed', 'sad', 'empathetic']",disappointed,sad,empathetic,
hit:3339_conv:6679,terrified,"['terrified', ' scared', ' amused']",terrified,scared,amused,1.0
hit:7330_conv:14660,anticipating,"['hopeful', 'content', 'happy']",hopeful,content,happy,
hit:7354_conv:14709,proud,"['happy', 'excited', 'grateful']",happy,excited,grateful,
hit:929_conv:1859,angry,"['angry', 'surprised', 'concerned']",angry,surprised,concerned,1.0
hit:6733_conv:13466,surprised,"['surprised', 'excited', 'curious']",surprised,excited,curious,1.0
hit:11880_conv:23761,faithful,"['proud', ' grateful', ' committed']",proud,grateful,committed,
hit:6623_conv:13247,surprised,"['surprised', ' afraid', ' relieved']",surprised,afraid,relieved,1.0
hit:5443_conv:10887,devastated,"['angry', 'sad', 'frustrated']",angry,sad,frustrated,
hit:7477_conv:14955,terrified,"['afraid', 'angry', 'frustrated']",afraid,angry,frustrated,
hit:8176_conv:16352,ashamed,"['guilty', 'sad', 'apologetic']",guilty,sad,apologetic,
hit:6529_conv:13058,annoyed,"['sad', 'anxious', 'frustrated']",sad,anxious,frustrated,
hit:7405_conv:14810,sad,"['sad', 'nostalgic', 'sorry']",sad,nostalgic,sorry,1.0
hit:8115_conv:16231,furious,"['angry', 'frustrated', 'sad']",angry,frustrated,sad,
hit:1892_conv:3784,sentimental,"['sentimental', ' loving', ' proud']",sentimental,loving,proud,1.0
hit:9798_conv:19597,furious,"['devastated', ' angry', ' betrayed']",devastated,angry,betrayed,
hit:2399_conv:4799,surprised,"['surprised', ' shocked', ' concerned']",surprised,shocked,concerned,1.0
hit:11624_conv:23248,anticipating,"['hopeful', 'anxious', 'reassured']",hopeful,anxious,reassured,
hit:2680_conv:5361,trusting,"['disappointed', ' betrayed', ' surprised']",disappointed,betrayed,surprised,
hit:6937_conv:13874,caring,"['grateful', 'relieved', 'appreciative']",grateful,relieved,appreciative,
hit:4455_conv:8911,devastated,"['sad', 'comforting', 'disappointed']",sad,comforting,disappointed,
hit:4643_conv:9287,anxious,"['anxious', 'nervous', 'prepared']",anxious,nervous,prepared,1.0
hit:11861_conv:23722,caring,"['grateful', ' proud', ' loving']",grateful,proud,loving,
hit:8462_conv:16924,grateful,"['happy', ' grateful', ' proud']",happy,grateful,proud,2.0
hit:5431_conv:10862,sad,"['devastated', ' sad', ' sympathetic']",devastated,sad,sympathetic,2.0
hit:6551_conv:13103,embarrassed,"['embarrassed', 'anxious', 'relieved']",embarrassed,anxious,relieved,1.0
hit:70_conv:140,faithful,"['proud', 'supportive', 'sad']",proud,supportive,sad,
hit:2392_conv:4785,embarrassed,"['embarrassed', 'amused', 'surprised']",embarrassed,amused,surprised,1.0
hit:3751_conv:7503,surprised,"['surprised', ' hopeful', ' amused']",surprised,hopeful,amused,1.0
hit:5943_conv:11886,ashamed,"['worried', 'frustrated', 'surprised']",worried,frustrated,surprised,
hit:9991_conv:19983,annoyed,"['angry', 'annoyed', 'frustrated']",angry,annoyed,frustrated,2.0
hit:10301_conv:20603,trusting,"['grateful', ' relieved', ' content']",grateful,relieved,content,
hit:12018_conv:24036,furious,"['angry', 'terrified', 'relieved']",angry,terrified,relieved,
hit:437_conv:875,anxious,"['anxious', 'stressed', 'calm']",anxious,stressed,calm,1.0
hit:5893_conv:11787,embarrassed,"['embarrassed', ' grateful', ' amused']",embarrassed,grateful,amused,1.0
hit:7885_conv:15770,caring,"['grateful', ' proud', ' loving']",grateful,proud,loving,
hit:8233_conv:16467,impressed,"['impressed', 'curious', 'hopeful']",impressed,curious,hopeful,1.0
hit:11463_conv:22926,prepared,"['proud', ' relieved', ' grateful']",proud,relieved,grateful,
hit:12331_conv:24662,trusting,"['betrayed', 'angry', 'sad']",betrayed,angry,sad,
hit:3639_conv:7278,proud,"['proud', 'happy', 'sad']",proud,happy,sad,1.0
hit:9129_conv:18259,trusting,"['worried', 'sad', 'anxious']",worried,sad,anxious,
hit:11204_conv:22409,apprehensive,"['afraid', 'sad', 'relieved']",afraid,sad,relieved,
hit:216_conv:432,disgusted,"['angry', 'disgusted', 'offended']",angry,disgusted,offended,2.0
hit:3396_conv:6793,guilty,"['guilty', 'sad', 'relieved']",guilty,sad,relieved,1.0
hit:9640_conv:19280,hopeful,"['annoyed', ' hopeful', ' relieved']",annoyed,hopeful,relieved,2.0
hit:5642_conv:11284,trusting,"['anxious', ' disappointed', ' betrayed']",anxious,disappointed,betrayed,
hit:8733_conv:17467,embarrassed,"['embarrassed', ' ashamed', ' worried']",embarrassed,ashamed,worried,1.0
hit:9075_conv:18150,hopeful,"['proud', 'hopeful', 'relieved']",proud,hopeful,relieved,2.0
hit:554_conv:1108,excited,"['grateful', ' impressed', ' relieved']",grateful,impressed,relieved,
hit:4628_conv:9256,anxious,"['anxious', ' hopeful', ' relieved']",anxious,hopeful,relieved,1.0
hit:5729_conv:11459,impressed,"['happy', ' hopeful', ' proud']",happy,hopeful,proud,
hit:8347_conv:16695,anxious,"['content', 'relieved', 'hopeful']",content,relieved,hopeful,
hit:4761_conv:9522,jealous,"['angry', 'disappointed', 'frustrated']",angry,disappointed,frustrated,
hit:722_conv:1445,devastated,"['surprised', 'annoyed', 'amused']",surprised,annoyed,amused,
hit:1587_conv:3175,annoyed,"['embarrassed', ' relieved', ' amused']",embarrassed,relieved,amused,
hit:8483_conv:16966,angry,"['angry', 'frustrated', 'relieved']",angry,frustrated,relieved,1.0
hit:9104_conv:18209,afraid,"['afraid', 'anxious', 'concerned']",afraid,anxious,concerned,1.0
hit:3117_conv:6235,disgusted,"['disgusted', ' nostalgic', ' amused']",disgusted,nostalgic,amused,1.0
hit:12082_conv:24165,apprehensive,"['anxious', ' suspicious', ' apprehensive']",anxious,suspicious,apprehensive,3.0
hit:2403_conv:4806,impressed,"['impressed', 'amused', 'excited']",impressed,amused,excited,1.0
hit:3077_conv:6155,ashamed,"['disappointed', 'sad', 'insecure']",disappointed,sad,insecure,
hit:8243_conv:16487,disappointed,"['disappointed', 'sad', 'concerned']",disappointed,sad,concerned,1.0
hit:9241_conv:18483,annoyed,"['annoyed', 'amused', 'frustrated']",annoyed,amused,frustrated,1.0
hit:2792_conv:5585,terrified,"['afraid', 'anxious', 'trustin']",afraid,anxious,trustin,
hit:4848_conv:9696,apprehensive,"['excited', 'hopeful', 'curious']",excited,hopeful,curious,
hit:11504_conv:23008,annoyed,"['annoyed', 'angry', 'frustrated']",annoyed,angry,frustrated,1.0
hit:3352_conv:6704,afraid,"['grateful', 'relieved', 'anxious']",grateful,relieved,anxious,
hit:4656_conv:9312,surprised,"['excited', 'happy', 'surprised']",excited,happy,surprised,3.0
hit:5099_conv:10199,content,"['hopeful', 'content', 'relieved']",hopeful,content,relieved,2.0
hit:9409_conv:18819,devastated,"['disappointed', 'upset', 'sorry']",disappointed,upset,sorry,
hit:3312_conv:6625,lonely,"['lonely', ' sad', ' sympathetic']",lonely,sad,sympathetic,1.0
hit:585_conv:1170,anxious,"['anxious', 'stressed', 'prepared']",anxious,stressed,prepared,1.0
hit:8215_conv:16430,surprised,"['happy', 'surprised', 'grateful']",happy,surprised,grateful,2.0
hit:4281_conv:8563,nostalgic,"['nostalgic', ' envious', ' sad']",nostalgic,envious,sad,1.0
hit:5703_conv:11406,grateful,"['grateful', 'happy', 'content']",grateful,happy,content,1.0
hit:1042_conv:2084,devastated,"['worried', 'sad', 'hopeful']",worried,sad,hopeful,
hit:11516_conv:23032,terrified,"['afraid', 'sad', 'relieved']",afraid,sad,relieved,
hit:1546_conv:3092,impressed,"['impressed', 'amused', 'surprised']",impressed,amused,surprised,1.0
hit:4279_conv:8558,afraid,"['embarrassed', 'anxious', 'confused']",embarrassed,anxious,confused,
hit:9657_conv:19314,apprehensive,"['anxious', 'hopeful', 'nervous']",anxious,hopeful,nervous,
hit:9686_conv:19373,furious,"['angry', 'frustrated', 'surprised']",angry,frustrated,surprised,
hit:9963_conv:19926,impressed,"['proud', 'admiring', 'hopeful']",proud,admiring,hopeful,
hit:11293_conv:22586,joyful,"['excited', 'happy', 'nervous']",excited,happy,nervous,
hit:5827_conv:11654,sad,"['sad', 'happy', 'annoyed']",sad,happy,annoyed,1.0
hit:4251_conv:8503,anxious,"['anxious', 'relieved', 'hopeful']",anxious,relieved,hopeful,1.0
hit:6677_conv:13354,afraid,"['afraid', 'anxious', 'worried']",afraid,anxious,worried,1.0
hit:428_conv:856,apprehensive,"['anxious', 'confident', 'worried']",anxious,confident,worried,
hit:6490_conv:12980,afraid,"['afraid', 'anxious', 'relieved']",afraid,anxious,relieved,1.0
hit:8616_conv:17232,ashamed,"['embarrassed', 'sad', 'sympathetic']",embarrassed,sad,sympathetic,
hit:2202_conv:4405,anxious,"['relieved', ' hopeful', ' proud']",relieved,hopeful,proud,
hit:5492_conv:10985,grateful,"['happy', 'excited', 'content']",happy,excited,content,
hit:7738_conv:15476,devastated,"['frustrated', ' annoyed', ' hopeful']",frustrated,annoyed,hopeful,
hit:9745_conv:19490,impressed,"['excited', 'happy', 'anticipating']",excited,happy,anticipating,
hit:11803_conv:23606,joyful,"['excited', 'hopeful', 'happy']",excited,hopeful,happy,
hit:4270_conv:8541,sad,"['devastated', 'sad', 'worried']",devastated,sad,worried,2.0
hit:9976_conv:19953,content,"['excited', 'relieved', 'content']",excited,relieved,content,3.0
hit:2578_conv:5157,terrified,"['anxious', ' hopeful', ' worried']",anxious,hopeful,worried,
hit:3723_conv:7446,afraid,"['betrayed', 'hopeful', 'grateful']",betrayed,hopeful,grateful,
hit:4773_conv:9546,impressed,"['frustrated', 'sad', 'disappointed']",frustrated,sad,disappointed,
hit:9036_conv:18073,embarrassed,"['embarrassed', ' amused', ' understanding']",embarrassed,amused,understanding,1.0
hit:11752_conv:23505,terrified,"['surprised', 'amused', 'annoyed']",surprised,amused,annoyed,
hit:4658_conv:9317,jealous,"['excited', ' hopeful', ' envious']",excited,hopeful,envious,
hit:8840_conv:17681,joyful,"['happy', 'excited', 'content']",happy,excited,content,
hit:9649_conv:19298,annoyed,"['frustrated', 'annoyed', 'sad']",frustrated,annoyed,sad,2.0
hit:1427_conv:2854,jealous,"['jealous', 'sad', 'frustrated']",jealous,sad,frustrated,1.0
hit:2980_conv:5960,sad,"['surprised', 'excited', 'amused']",surprised,excited,amused,
hit:5116_conv:10232,devastated,"['devastated', ' angry', ' betrayed']",devastated,angry,betrayed,1.0
hit:11202_conv:22405,ashamed,"['embarrassed', 'disgusted', 'amused']",embarrassed,disgusted,amused,
hit:11740_conv:23480,disgusted,"['disgusted', 'anxious', 'reluctant']",disgusted,anxious,reluctant,1.0
hit:2953_conv:5906,impressed,"['excited', 'impressed', 'curious']",excited,impressed,curious,2.0
hit:5280_conv:10560,proud,"['excited', ' relieved', ' content']",excited,relieved,content,
hit:8168_conv:16337,furious,"['frustrated', ' hopeful', ' annoyed']",frustrated,hopeful,annoyed,
hit:110_conv:221,excited,"['excited', 'hopeful', 'happy']",excited,hopeful,happy,1.0
hit:3608_conv:7217,angry,"['angry', 'annoyed', 'frustrated']",angry,annoyed,frustrated,1.0
hit:4348_conv:8696,angry,"['angry', 'annoyed', 'frustrated']",angry,annoyed,frustrated,1.0
hit:4751_conv:9502,content,"['content', ' curious', ' hopeful']",content,curious,hopeful,1.0
hit:4658_conv:9316,annoyed,"['sad', 'angry', 'frustrated']",sad,angry,frustrated,
hit:2564_conv:5128,guilty,"['ashamed', ' regretful', ' hopeful']",ashamed,regretful,hopeful,
hit:481_conv:962,content,"['anxious', 'relieved', 'hopeful']",anxious,relieved,hopeful,
hit:605_conv:1211,embarrassed,"['relieved', ' embarrassed', ' surprised']",relieved,embarrassed,surprised,2.0
hit:8833_conv:17666,lonely,"['lonely', 'sad', 'concerned']",lonely,sad,concerned,1.0
hit:10212_conv:20425,annoyed,"['annoyed', 'amused', 'worried']",annoyed,amused,worried,1.0
hit:1151_conv:2302,sentimental,"['sad', 'hopeful', 'understanding']",sad,hopeful,understanding,
hit:6646_conv:13293,content,"['relieved', 'content', 'grateful']",relieved,content,grateful,2.0
hit:1007_conv:2015,apprehensive,"['anxious', ' unsure', ' hesitant']",anxious,unsure,hesitant,
hit:1020_conv:2041,angry,"['disappointed', 'sad', 'forgiving']",disappointed,sad,forgiving,
hit:247_conv:495,impressed,"['impressed', 'surprised', 'indifferent']",impressed,surprised,indifferent,1.0
hit:61_conv:122,furious,"['angry', 'frustrated', 'disappointed']",angry,frustrated,disappointed,
hit:6698_conv:13397,anticipating,"['excited', 'interested', 'amused']",excited,interested,amused,
hit:8324_conv:16649,proud,"['excited', ' happy', ' proud']",excited,happy,proud,3.0
hit:2212_conv:4425,apprehensive,"['anxious', 'afraid', 'worried']",anxious,afraid,worried,
hit:6918_conv:13837,surprised,"['surprised', ' supportive', ' understanding']",surprised,supportive,understanding,1.0
hit:11707_conv:23415,anticipating,"['worried', 'sad', 'frustrated']",worried,sad,frustrated,
hit:11717_conv:23435,caring,"['caring', 'concerned', 'hopeful']",caring,concerned,hopeful,1.0
hit:2997_conv:5995,embarrassed,"['embarrassed', 'embarrassed', 'amused']",embarrassed,embarrassed,amused,1.0
hit:3051_conv:6103,grateful,"['happy', 'excited', 'grateful']",happy,excited,grateful,3.0
hit:10913_conv:21827,sentimental,"['happy', ' nostalgic', ' grateful']",happy,nostalgic,grateful,
hit:9119_conv:18238,afraid,"['disgusted', 'annoyed', 'curious']",disgusted,annoyed,curious,
hit:7236_conv:14473,embarrassed,"['embarrassed', ' amused', ' surprised']",embarrassed,amused,surprised,1.0
hit:8476_conv:16953,furious,"['angry', ' disappointed', ' amused']",angry,disappointed,amused,
hit:8882_conv:17764,faithful,"['hopeful', ' worried', ' caring']",hopeful,worried,caring,
hit:6089_conv:12178,surprised,"['happy', ' relieved', ' surprised']",happy,relieved,surprised,3.0
hit:11282_conv:22565,embarrassed,"['embarrassed', ' amused', ' surprised']",embarrassed,amused,surprised,1.0
hit:10464_conv:20928,apprehensive,"['anxious', 'worried', 'prepared']",anxious,worried,prepared,
hit:1269_conv:2539,anticipating,"['guilty', 'anxious', 'concerned']",guilty,anxious,concerned,
hit:5640_conv:11281,surprised,"['worried', 'lonely', 'surprised']",worried,lonely,surprised,3.0
hit:1531_conv:3063,caring,"['sad', 'empathetic', 'helpless']",sad,empathetic,helpless,
hit:5639_conv:11278,content,"['content', 'happy', 'satisfied']",content,happy,satisfied,1.0
hit:2875_conv:5750,content,"['happy', 'relaxed', 'content']",happy,relaxed,content,3.0
hit:3347_conv:6694,jealous,"['jealous', 'insecure', 'anxious']",jealous,insecure,anxious,1.0
hit:4132_conv:8264,joyful,"['happy', 'surprised', 'excited']",happy,surprised,excited,
hit:10465_conv:20931,trusting,"['sad', 'angry', 'betrayed']",sad,angry,betrayed,
hit:1433_conv:2866,embarrassed,"['embarrassed', 'funny', 'understanding']",embarrassed,funny,understanding,1.0
hit:400_conv:801,surprised,"['surprised', ' relieved', ' amused']",surprised,relieved,amused,1.0
hit:8027_conv:16055,guilty,"['guilty', ' content', ' amused']",guilty,content,amused,1.0
hit:10859_conv:21718,jealous,"['angry', 'frustrated', 'insecure']",angry,frustrated,insecure,
hit:11508_conv:23016,faithful,"['happy', 'faithful', 'content']",happy,faithful,content,2.0
hit:12306_conv:24613,proud,"['excited', 'relieved', 'proud']",excited,relieved,proud,3.0
hit:6881_conv:13762,faithful,"['content', ' grateful', ' loving']",content,grateful,loving,
hit:10486_conv:20972,afraid,"['afraid', 'surprised', 'understanding']",afraid,surprised,understanding,1.0
hit:2225_conv:4451,nostalgic,"['nostalgic', 'reflecting', 'sentimental']",nostalgic,reflecting,sentimental,1.0
hit:7655_conv:15310,sad,"['sad', 'devastated', 'heartbroken']",sad,devastated,heartbroken,1.0
hit:11465_conv:22931,trusting,"['grateful', ' hopeful', ' relieved']",grateful,hopeful,relieved,
hit:724_conv:1449,surprised,"['happy', 'surprised', 'nostalgic']",happy,surprised,nostalgic,2.0
hit:2145_conv:4290,excited,"['happy', 'grateful', 'content']",happy,grateful,content,
hit:5262_conv:10525,devastated,"['sad', 'concerned', 'hopeful']",sad,concerned,hopeful,
hit:5759_conv:11519,embarrassed,"['excited', ' happy', ' surprised']",excited,happy,surprised,
hit:4989_conv:9979,grateful,"['grateful', 'surprised', 'relieved']",grateful,surprised,relieved,1.0
hit:9055_conv:18111,annoyed,"['annoyed', 'irritated', 'angry']",annoyed,irritated,angry,1.0
hit:9807_conv:19615,afraid,"['afraid', 'anxious', 'nervous']",afraid,anxious,nervous,1.0
hit:11080_conv:22161,apprehensive,"['anxious', ' disappointed', ' unsure']",anxious,disappointed,unsure,
hit:2217_conv:4435,surprised,"['anxious', 'worried', 'protective']",anxious,worried,protective,
hit:4938_conv:9877,annoyed,"['annoyed', 'frustrated', 'disappointed']",annoyed,frustrated,disappointed,1.0
hit:256_conv:513,hopeful,"['excited', 'happy', 'grateful']",excited,happy,grateful,
hit:4080_conv:8160,annoyed,"['annoyed', 'frustrated', 'hopeful']",annoyed,frustrated,hopeful,1.0
hit:6243_conv:12487,anticipating,"['excited', ' happy', ' anticipating']",excited,happy,anticipating,3.0
hit:10880_conv:21760,furious,"['angry', 'heartbroken', 'surprised']",angry,heartbroken,surprised,
hit:5022_conv:10045,prepared,"['worried', 'sad', 'anxious']",worried,sad,anxious,
hit:6563_conv:13126,afraid,"['afraid', 'anxious', 'unsettled']",afraid,anxious,unsettled,1.0
hit:8290_conv:16580,angry,"['angry', 'sad', 'frustrated']",angry,sad,frustrated,1.0
hit:8930_conv:17860,caring,"['protective', ' loving', ' nostalgic']",protective,loving,nostalgic,
hit:10564_conv:21128,trusting,"['grateful', ' proud', ' pleased']",grateful,proud,pleased,
hit:11862_conv:23725,prepared,"['confident', ' hopeful', ' agreeing']",confident,hopeful,agreeing,
hit:7274_conv:14549,terrified,"['afraid', 'relieved', 'anxious']",afraid,relieved,anxious,
hit:4233_conv:8467,disappointed,"['angry', 'disappointed', 'frustrated']",angry,disappointed,frustrated,2.0
hit:12282_conv:24565,devastated,"['devastated', 'sad', 'sorry']",devastated,sad,sorry,1.0
hit:6230_conv:12460,hopeful,"['anxious', ' frustrated', ' hopeful']",anxious,frustrated,hopeful,3.0
hit:11392_conv:22785,ashamed,"['anxious', 'insecure', 'relieved']",anxious,insecure,relieved,
hit:9114_conv:18229,annoyed,"['annoyed', 'impressed', 'impatient']",annoyed,impressed,impatient,1.0
hit:4276_conv:8553,joyful,"['grateful', ' surprised', ' curious']",grateful,surprised,curious,
hit:9645_conv:19291,caring,"['afraid', 'grateful', 'supportive']",afraid,grateful,supportive,
hit:4428_conv:8857,angry,"['angry', 'embarrassed', 'supporting']",angry,embarrassed,supporting,1.0
hit:7980_conv:15960,joyful,"['grateful', 'relieved', 'annoyed']",grateful,relieved,annoyed,
