conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:68_conv:137,prepared,"['relieved', ' anxious', ' grateful']",relieved,
hit:7342_conv:14685,angry,"['annoyed', 'disgusted', 'surprised']",annoyed,
hit:11714_conv:23428,trusting,"['proud', 'hopeful', 'caring']",proud,
hit:11751_conv:23502,terrified,"['angry', 'surprised', 'annoyed']",angry,
hit:2549_conv:5099,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:6466_conv:12933,impressed,"['proud', 'excited', 'hopeful']",proud,
hit:7001_conv:14002,prepared,"['excited', 'proud', 'hopeful']",excited,
hit:7051_conv:14102,sad,"['sad', ' proud', ' nostalgic']",sad,1.0
hit:918_conv:1836,nostalgic,"['nostalgic', 'content', 'sad']",nostalgic,1.0
hit:1663_conv:3326,devastated,"['angry', 'sad', 'frustrated']",angry,
hit:2037_conv:4074,embarrassed,"['embarrassed', 'amused', 'surprised']",embarrassed,1.0
hit:2407_conv:4815,confident,"['anxious', ' hopeful', ' prepared']",anxious,
hit:2675_conv:5351,nostalgic,"['nostalgic', ' joyful', ' grateful']",nostalgic,1.0
hit:4285_conv:8570,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:4521_conv:9043,trusting,"['excited', 'hopeful', 'confident']",excited,
hit:8451_conv:16902,surprised,"['excited', ' surprised', ' grateful']",excited,2.0
hit:9174_conv:18348,prepared,"['prepared', ' hopeful', ' proud']",prepared,1.0
hit:1333_conv:2666,grateful,"['grateful', 'relieved', 'surprised']",grateful,1.0
hit:1631_conv:3262,excited,"['excited', 'proud', 'hopeful']",excited,1.0
hit:3000_conv:6001,apprehensive,"['anxious', 'apprehensive', 'worried']",anxious,2.0
hit:3906_conv:7812,grateful,"['grateful', ' proud', ' joyful']",grateful,1.0
hit:658_conv:1317,grateful,"['excited', 'joyful', 'proud']",excited,
hit:7836_conv:15673,excited,"['excited', ' nostalgic', ' grateful']",excited,1.0
hit:8451_conv:16902,surprised,"['excited', 'grateful', 'hopeful']",excited,
hit:9825_conv:19650,jealous,"['jealous', ' hopeful', ' excited']",jealous,1.0
hit:10158_conv:20316,apprehensive,"['proud', ' relieved', ' grateful']",proud,
hit:10161_conv:20322,trusting,"['grateful', ' relieved', ' hopeful']",grateful,
hit:4101_conv:8203,annoyed,"['anxious', 'afraid', 'grateful']",anxious,
hit:4986_conv:9973,grateful,"['grateful', 'surprised', 'thankful']",grateful,1.0
hit:5147_conv:10294,guilty,"['guilty', 'sad', 'comforting']",guilty,1.0
hit:9028_conv:18056,apprehensive,"['worried', 'sad', 'hopeful']",worried,
hit:9159_conv:18319,terrified,"['afraid', 'excited', 'relieved']",afraid,
hit:9825_conv:19650,jealous,"['excited', ' amused', ' carefree']",excited,
hit:10640_conv:21280,nostalgic,"['nostalgic', ' joyful', ' hopeful']",nostalgic,1.0
hit:1898_conv:3797,lonely,"['lonely', 'sad', 'disappointed']",lonely,1.0
hit:2085_conv:4171,guilty,"['disgusted', 'sad', 'ashamed']",disgusted,
hit:2184_conv:4369,grateful,"['grateful', ' relieved', ' anxious']",grateful,1.0
hit:5221_conv:10443,anxious,"['anxious', 'hopeful', 'forgetful']",anxious,1.0
hit:5859_conv:11718,sentimental,"['proud', ' nostalgic', ' grateful']",proud,
hit:6611_conv:13222,surprised,"['grateful', ' proud', ' surprised']",grateful,3.0
hit:9208_conv:18416,terrified,"['afraid', 'anxious', 'concerned']",afraid,
hit:10803_conv:21607,trusting,"['anxious', 'excited', 'grateful']",anxious,
hit:12218_conv:24436,sentimental,"['sad', ' nostalgic', ' proud']",sad,
hit:2184_conv:4369,grateful,"['grateful', 'sad', 'relieved']",grateful,1.0
hit:5630_conv:11261,caring,"['grateful', 'caring', 'content']",grateful,2.0
hit:6536_conv:13072,grateful,"['grateful', 'proud', 'hopeful']",grateful,1.0
hit:7400_conv:14800,impressed,"['proud', ' hopeful', ' impressed']",proud,3.0
hit:7595_conv:15190,devastated,"['disappointed', 'sad', 'hopeful']",disappointed,
hit:7923_conv:15847,disappointed,"['disappointed', ' hopeful', ' annoyed']",disappointed,1.0
hit:10803_conv:21607,trusting,"['excited', ' grateful', ' joyful']",excited,
hit:12262_conv:24524,furious,"['worried', ' nostalgic', ' surprised']",worried,
hit:12297_conv:24594,devastated,"['sad', 'angry', 'hurt']",sad,
hit:1311_conv:2623,confident,"['excited', ' hopeful', ' concerned']",excited,
hit:1845_conv:3690,apprehensive,"['anxious', ' angry', ' disappointed']",anxious,
hit:3006_conv:6012,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,1.0
hit:3721_conv:7443,disappointed,"['disappointed', 'nostalgic', 'sad']",disappointed,1.0
hit:5909_conv:11818,lonely,"['sad', 'lonely', 'content']",sad,2.0
hit:10813_conv:21626,ashamed,"['guilty', 'sad', 'ashamed']",guilty,3.0
hit:11992_conv:23984,impressed,"['proud', 'excited', 'hopeful']",proud,
hit:12089_conv:24178,angry,"['angry', 'sad', 'disgusted']",angry,1.0
hit:3045_conv:6090,surprised,"['excited', 'hopeful', 'grateful']",excited,
hit:7304_conv:14609,afraid,"['terrified', ' disgusted', ' anxious']",terrified,
hit:8587_conv:17174,disappointed,"['disappointed', 'sad', 'lonely']",disappointed,1.0
hit:958_conv:1916,hopeful,"['disappointed', 'angry', 'surprised']",disappointed,
hit:10064_conv:20128,trusting,"['anxious', 'hopeful', 'faithful']",anxious,
hit:1695_conv:3391,anxious,"['anxious', ' frustrated', ' annoyed']",anxious,1.0
hit:2131_conv:4263,grateful,"['excited', ' grateful', ' happy']",excited,2.0
hit:2684_conv:5369,lonely,"['lonely', ' nostalgic', ' hopeful']",lonely,1.0
hit:3328_conv:6656,faithful,"['grateful', ' faithful', ' proud']",grateful,2.0
hit:3697_conv:7394,grateful,"['grateful', 'happy', 'content']",grateful,1.0
hit:5778_conv:11556,jealous,"['angry', 'annoyed', 'surprised']",angry,
hit:919_conv:1839,anticipating,"['excited', 'impressed', 'hopeful']",excited,
hit:11797_conv:23594,prepared,"['excited', 'hopeful', 'joyful']",excited,
hit:3129_conv:6258,guilty,"['disappointed', 'embarrassed', 'guilty']",disappointed,3.0
hit:3328_conv:6656,faithful,"['proud', 'hopeful', 'content']",proud,
hit:4586_conv:9173,trusting,"['happy', 'trusting', 'annoyed']",happy,2.0
hit:7143_conv:14286,disgusted,"['disgusted', 'surprised', 'curious']",disgusted,1.0
hit:9046_conv:18092,embarrassed,"['embarrassed', ' surprised', ' ashamed']",embarrassed,1.0
hit:952_conv:1904,lonely,"['sad', 'lonely', 'grateful']",sad,2.0
hit:1152_conv:2305,confident,"['proud', 'excited', 'hopeful']",proud,
hit:11763_conv:23527,disappointed,"['disappointed', 'angry', 'sad']",disappointed,1.0
hit:1793_conv:3587,anxious,"['relieved', 'sad', 'anxious']",relieved,3.0
hit:448_conv:897,faithful,"['faithful', 'hopeful', 'grateful']",faithful,1.0
hit:5272_conv:10544,disgusted,"['disgusted', ' surprised', ' annoyed']",disgusted,1.0
hit:6238_conv:12476,devastated,"['sad', 'grateful', 'heartbroken']",sad,
hit:6854_conv:13708,afraid,"['afraid', 'surprised', 'anxious']",afraid,1.0
hit:7143_conv:14286,disgusted,"['surprised', 'annoyed', 'disgusted']",surprised,3.0
hit:12381_conv:24762,excited,"['excited', 'joyful', 'hopeful']",excited,1.0
hit:1793_conv:3587,anxious,"['surprised', 'content', 'hopeful']",surprised,
hit:267_conv:534,caring,"['tired', 'content', 'relieved']",tired,
hit:3691_conv:7382,caring,"['happy', 'excited', 'content']",happy,
hit:6149_conv:12298,angry,"['angry', 'annoyed', 'disappointed']",angry,1.0
hit:7283_conv:14567,annoyed,"['annoyed', 'disappointed', 'frustrated']",annoyed,1.0
hit:8195_conv:16390,disgusted,"['sad', 'disgusted', 'understanding']",sad,2.0
hit:9029_conv:18058,excited,"['excited', ' grateful', ' hopeful']",excited,1.0
hit:11072_conv:22145,lonely,"['lonely', 'sad', 'guilty']",lonely,1.0
hit:12381_conv:24762,excited,"['excited', 'joyful', 'content']",excited,1.0
hit:3299_conv:6598,apprehensive,"['angry', 'anxious', 'disgusted']",angry,
hit:440_conv:880,devastated,"['sad', 'guilty', 'anxious']",sad,
hit:4454_conv:8908,angry,"['annoyed', 'sad', 'frustrated']",annoyed,
hit:5230_conv:10460,grateful,"['excited', 'happy', 'content']",excited,
hit:6860_conv:13720,confident,"['excited', ' hopeful', ' proud']",excited,
hit:8983_conv:17966,disappointed,"['sad', ' surprised', ' hopeful']",sad,
hit:907_conv:1814,afraid,"['afraid', 'anxious', 'comforting']",afraid,1.0
hit:1016_conv:2033,nostalgic,"['sad', ' disappointed', ' understanding']",sad,
hit:10361_conv:20723,disappointed,"['disappointed', 'hopeful', 'excited']",disappointed,1.0
hit:11914_conv:23829,prepared,"['prepared', 'hopeful', 'content']",prepared,1.0
hit:2337_conv:4675,lonely,"['hopeful', ' grateful', ' lonely']",hopeful,3.0
hit:2365_conv:4730,apprehensive,"['anxious', ' hopeful', ' content']",anxious,
hit:5686_conv:11373,angry,"['angry', 'annoyed', 'surprised']",angry,1.0
hit:6860_conv:13720,confident,"['excited', ' proud', ' confident']",excited,3.0
hit:8921_conv:17842,disgusted,"['disgusted', 'annoyed', 'disappointed']",disgusted,1.0
hit:10105_conv:20210,trusting,"['disappointed', ' ashamed', ' hopeful']",disappointed,
hit:10183_conv:20367,trusting,"['faithful', 'hopeful', 'proud']",faithful,
hit:1411_conv:2822,jealous,"['disappointed', 'sad', 'empathetic']",disappointed,
hit:2337_conv:4675,lonely,"['grateful', ' hopeful', ' relieved']",grateful,
hit:3339_conv:6679,terrified,"['terrified', ' scared', ' amused']",terrified,1.0
hit:7131_conv:14263,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,1.0
hit:7330_conv:14660,anticipating,"['hopeful', 'content', 'happy']",hopeful,
hit:11298_conv:22597,apprehensive,"['anxious', 'disappointed', 'lonely']",anxious,
hit:1492_conv:2984,lonely,"['lonely', 'sad', 'hopeful']",lonely,1.0
hit:4944_conv:9889,prepared,"['surprised', ' grateful', ' prepared']",surprised,3.0
hit:5265_conv:10531,devastated,"['devastated', ' sad', ' hopeful']",devastated,1.0
hit:5356_conv:10713,grateful,"['grateful', 'annoyed', 'surprised']",grateful,1.0
hit:6889_conv:13779,anticipating,"['excited', 'hopeful', 'content']",excited,
hit:7131_conv:14263,nostalgic,"['nostalgic', ' sentimental', ' joyful']",nostalgic,1.0
hit:7354_conv:14709,proud,"['happy', 'excited', 'grateful']",happy,
hit:929_conv:1859,angry,"['angry', 'surprised', 'concerned']",angry,1.0
hit:11603_conv:23206,joyful,"['excited', 'joyful', 'hopeful']",excited,2.0
hit:11991_conv:23983,prepared,"['proud', ' excited', ' confident']",proud,
hit:1925_conv:3851,hopeful,"['hopeful', ' proud', ' excited']",hopeful,1.0
hit:4944_conv:9889,prepared,"['anxious', ' anticipating', ' grateful']",anxious,
hit:6733_conv:13466,surprised,"['surprised', 'excited', 'curious']",surprised,1.0
hit:6821_conv:13642,anticipating,"['excited', 'hopeful', 'nostalgic']",excited,
hit:6886_conv:13772,lonely,"['content', 'lonely', 'hopeful']",content,2.0
hit:7794_conv:15589,disgusted,"['disgusted', 'terrified', 'sad']",disgusted,1.0
hit:11880_conv:23761,faithful,"['proud', ' grateful', ' committed']",proud,
hit:1886_conv:3773,hopeful,"['excited', 'hopeful', 'content']",excited,2.0
hit:1972_conv:3945,excited,"['excited', 'hopeful', 'joyful']",excited,1.0
hit:4985_conv:9971,hopeful,"['excited', 'hopeful', 'content']",excited,2.0
hit:5339_conv:10678,nostalgic,"['nostalgic', 'lonely', 'hopeful']",nostalgic,1.0
hit:6623_conv:13247,surprised,"['surprised', ' afraid', ' relieved']",surprised,1.0
hit:7794_conv:15589,disgusted,"['disgusted', 'terrified', 'annoyed']",disgusted,1.0
hit:8854_conv:17709,anticipating,"['excited', 'hopeful', 'confident']",excited,
hit:1694_conv:3389,anticipating,"['excited', 'hopeful', 'joyful']",excited,
hit:1880_conv:3761,nostalgic,"['nostalgic', ' joyful', ' excited']",nostalgic,1.0
hit:1886_conv:3773,hopeful,"['anxious', ' guilty', ' ashamed']",anxious,
hit:24_conv:49,excited,"['joyful', 'nostalgic', 'hopeful']",joyful,
hit:2931_conv:5862,terrified,"['terrified', ' surprised', ' disgusted']",terrified,1.0
hit:5443_conv:10887,devastated,"['angry', 'sad', 'frustrated']",angry,
hit:7477_conv:14955,terrified,"['afraid', 'angry', 'frustrated']",afraid,
hit:8176_conv:16352,ashamed,"['guilty', 'sad', 'apologetic']",guilty,
hit:12138_conv:24276,caring,"['grateful', ' hopeful', ' caring']",grateful,3.0
