conv_id,Original_Labels,Top_3_Emotion_Pred,1st_Emotion_Pred,2nd_Emotion_Pred,3rd_Emotion_Pred,Pred_Emo_Position
hit:3236_conv:6473,terrified,"['disgusted', 'anxious', 'surprised']",disgusted,anxious,surprised,
hit:5796_conv:11592,excited,"['excited', 'nostalgic', 'hopeful']",excited,nostalgic,hopeful,1.0
hit:11955_conv:23910,nostalgic,"['disappointed', 'sad', 'hopeful']",disappointed,sad,hopeful,
hit:5730_conv:11461,terrified,"['afraid', 'surprised', 'anxious']",afraid,surprised,anxious,
hit:702_conv:1404,disappointed,"['disappointed', 'sad', 'guilty']",disappointed,sad,guilty,1.0
hit:8032_conv:16065,angry,"['angry', 'annoyed', 'grateful']",angry,annoyed,grateful,1.0
hit:5444_conv:10889,joyful,"['excited', 'content', 'annoyed']",excited,content,annoyed,
hit:6253_conv:12506,excited,"['excited', 'anxious', 'confident']",excited,anxious,confident,1.0
hit:6558_conv:13117,sentimental,"['nostalgic', 'hopeful', 'content']",nostalgic,hopeful,content,
hit:7011_conv:14023,impressed,"['excited', ' proud', ' impressed']",excited,proud,impressed,3.0
hit:7926_conv:15852,annoyed,"['annoyed', 'angry', 'disappointed']",annoyed,angry,disappointed,1.0
hit:2203_conv:4406,disappointed,"['disappointed', ' hopeful', ' proud']",disappointed,hopeful,proud,1.0
hit:4462_conv:8925,sad,"['sad', 'excited', 'anticipating']",sad,excited,anticipating,1.0
hit:5139_conv:10279,annoyed,"['angry', 'annoyed', 'sad']",angry,annoyed,sad,2.0
hit:5582_conv:11165,afraid,"['proud', 'terrified', 'excited']",proud,terrified,excited,
hit:7085_conv:14170,anticipating,"['excited', 'prepared', 'hopeful']",excited,prepared,hopeful,
hit:9823_conv:19647,surprised,"['excited', 'surprised', 'content']",excited,surprised,content,2.0
hit:3351_conv:6702,content,"['excited', ' hopeful', ' content']",excited,hopeful,content,3.0
hit:9175_conv:18350,jealous,"['jealous', ' content', ' annoyed']",jealous,content,annoyed,1.0
hit:9477_conv:18955,anticipating,"['anxious', 'hopeful', 'sad']",anxious,hopeful,sad,
hit:1717_conv:3435,surprised,"['excited', ' grateful', ' joyful']",excited,grateful,joyful,
hit:4141_conv:8283,terrified,"['surprised', ' terrified', ' annoyed']",surprised,terrified,annoyed,2.0
hit:8405_conv:16811,grateful,"['grateful', ' proud', ' content']",grateful,proud,content,1.0
hit:9239_conv:18478,surprised,"['sad', ' nostalgic', ' disappointed']",sad,nostalgic,disappointed,
hit:9360_conv:18721,devastated,"['devastated', ' sad', ' nostalgic']",devastated,sad,nostalgic,1.0
hit:10494_conv:20989,confident,"['hopeful', 'excited', 'proud']",hopeful,excited,proud,
hit:5715_conv:11431,jealous,"['disappointed', 'sad', 'jealous']",disappointed,sad,jealous,3.0
hit:6981_conv:13963,afraid,"['afraid', 'angry', 'sad']",afraid,angry,sad,1.0
hit:8880_conv:17761,lonely,"['lonely', 'grateful', 'hopeful']",lonely,grateful,hopeful,1.0
hit:9475_conv:18951,joyful,"['proud', 'hopeful', 'grateful']",proud,hopeful,grateful,
hit:10691_conv:21383,ashamed,"['embarrassed', 'anxious', 'hopeful']",embarrassed,anxious,hopeful,
hit:1500_conv:3001,prepared,"['proud', 'confident', 'content']",proud,confident,content,
hit:8269_conv:16539,prepared,"['anxious', 'hopeful', 'content']",anxious,hopeful,content,
hit:10613_conv:21227,caring,"['grateful', ' proud', ' sad']",grateful,proud,sad,
hit:5984_conv:11968,excited,"['excited', 'hopeful', 'joyful']",excited,hopeful,joyful,1.0
hit:6815_conv:13631,disgusted,"['disgusted', 'annoyed', 'angry']",disgusted,annoyed,angry,1.0
hit:8989_conv:17979,hopeful,"['excited', 'confident', 'hopeful']",excited,confident,hopeful,3.0
hit:9251_conv:18502,nostalgic,"['nostalgic', 'content', 'hopeful']",nostalgic,content,hopeful,1.0
hit:10239_conv:20478,jealous,"['jealous', 'disappointed', 'hopeful']",jealous,disappointed,hopeful,1.0
hit:10799_conv:21598,terrified,"['anxious', ' hopeful', ' proud']",anxious,hopeful,proud,
hit:5850_conv:11701,jealous,"['surprised', 'angry', 'disappointed']",surprised,angry,disappointed,
hit:7233_conv:14466,annoyed,"['disgusted', 'annoyed', 'angry']",disgusted,annoyed,angry,2.0
hit:7342_conv:14685,angry,"['annoyed', 'angry', 'sad']",annoyed,angry,sad,2.0
hit:10662_conv:21324,hopeful,"['excited', 'hopeful', 'anxious']",excited,hopeful,anxious,2.0
hit:2549_conv:5099,proud,"['proud', 'excited', 'hopeful']",proud,excited,hopeful,1.0
hit:4281_conv:8562,lonely,"['devastated', ' lonely', ' hopeful']",devastated,lonely,hopeful,2.0
hit:5940_conv:11881,proud,"['grateful', 'excited', 'content']",grateful,excited,content,
hit:6539_conv:13078,grateful,"['grateful', 'hopeful', 'excited']",grateful,hopeful,excited,1.0
hit:11714_conv:23428,trusting,"['proud', 'hopeful', 'caring']",proud,hopeful,caring,
hit:11751_conv:23502,terrified,"['angry', 'surprised', 'annoyed']",angry,surprised,annoyed,
hit:6466_conv:12933,impressed,"['proud', 'excited', 'hopeful']",proud,excited,hopeful,
hit:7001_conv:14002,prepared,"['excited', 'proud', 'hopeful']",excited,proud,hopeful,
hit:7051_conv:14102,sad,"['sad', ' proud', ' nostalgic']",sad,proud,nostalgic,1.0
hit:918_conv:1836,nostalgic,"['nostalgic', 'content', 'sad']",nostalgic,content,sad,1.0
hit:2407_conv:4815,confident,"['anxious', ' hopeful', ' prepared']",anxious,hopeful,prepared,
hit:2675_conv:5351,nostalgic,"['nostalgic', ' joyful', ' grateful']",nostalgic,joyful,grateful,1.0
hit:4285_conv:8570,terrified,"['afraid', 'surprised', 'anxious']",afraid,surprised,anxious,
hit:4521_conv:9043,trusting,"['excited', 'hopeful', 'confident']",excited,hopeful,confident,
hit:8451_conv:16902,surprised,"['excited', ' surprised', ' grateful']",excited,surprised,grateful,2.0
hit:9174_conv:18348,prepared,"['prepared', ' hopeful', ' proud']",prepared,hopeful,proud,1.0
hit:1631_conv:3262,excited,"['excited', 'proud', 'hopeful']",excited,proud,hopeful,1.0
hit:3906_conv:7812,grateful,"['grateful', ' proud', ' joyful']",grateful,proud,joyful,1.0
hit:658_conv:1317,grateful,"['excited', 'joyful', 'proud']",excited,joyful,proud,
hit:7836_conv:15673,excited,"['excited', ' nostalgic', ' grateful']",excited,nostalgic,grateful,1.0
hit:9825_conv:19650,jealous,"['jealous', ' hopeful', ' excited']",jealous,hopeful,excited,1.0
hit:4101_conv:8203,annoyed,"['anxious', 'afraid', 'grateful']",anxious,afraid,grateful,
hit:10640_conv:21280,nostalgic,"['nostalgic', ' joyful', ' hopeful']",nostalgic,joyful,hopeful,1.0
hit:1898_conv:3797,lonely,"['lonely', 'sad', 'disappointed']",lonely,sad,disappointed,1.0
hit:2085_conv:4171,guilty,"['disgusted', 'sad', 'ashamed']",disgusted,sad,ashamed,
hit:5859_conv:11718,sentimental,"['proud', ' nostalgic', ' grateful']",proud,nostalgic,grateful,
hit:6611_conv:13222,surprised,"['grateful', ' proud', ' surprised']",grateful,proud,surprised,3.0
hit:10803_conv:21607,trusting,"['anxious', 'excited', 'grateful']",anxious,excited,grateful,
hit:12218_conv:24436,sentimental,"['sad', ' nostalgic', ' proud']",sad,nostalgic,proud,
hit:5630_conv:11261,caring,"['grateful', 'caring', 'content']",grateful,caring,content,2.0
hit:6536_conv:13072,grateful,"['grateful', 'proud', 'hopeful']",grateful,proud,hopeful,1.0
hit:7400_conv:14800,impressed,"['proud', ' hopeful', ' impressed']",proud,hopeful,impressed,3.0
hit:7595_conv:15190,devastated,"['disappointed', 'sad', 'hopeful']",disappointed,sad,hopeful,
hit:7923_conv:15847,disappointed,"['disappointed', ' hopeful', ' annoyed']",disappointed,hopeful,annoyed,1.0
hit:1845_conv:3690,apprehensive,"['anxious', ' angry', ' disappointed']",anxious,angry,disappointed,
hit:3006_conv:6012,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,joyful,content,1.0
hit:3721_conv:7443,disappointed,"['disappointed', 'nostalgic', 'sad']",disappointed,nostalgic,sad,1.0
hit:5909_conv:11818,lonely,"['sad', 'lonely', 'content']",sad,lonely,content,2.0
hit:10813_conv:21626,ashamed,"['guilty', 'sad', 'ashamed']",guilty,sad,ashamed,3.0
hit:11992_conv:23984,impressed,"['proud', 'excited', 'hopeful']",proud,excited,hopeful,
hit:12089_conv:24178,angry,"['angry', 'sad', 'disgusted']",angry,sad,disgusted,1.0
hit:3045_conv:6090,surprised,"['excited', 'hopeful', 'grateful']",excited,hopeful,grateful,
hit:7304_conv:14609,afraid,"['terrified', ' disgusted', ' anxious']",terrified,disgusted,anxious,
hit:8587_conv:17174,disappointed,"['disappointed', 'sad', 'lonely']",disappointed,sad,lonely,1.0
hit:958_conv:1916,hopeful,"['disappointed', 'angry', 'surprised']",disappointed,angry,surprised,
hit:10064_conv:20128,trusting,"['anxious', 'hopeful', 'faithful']",anxious,hopeful,faithful,
hit:2684_conv:5369,lonely,"['lonely', ' nostalgic', ' hopeful']",lonely,nostalgic,hopeful,1.0
hit:3328_conv:6656,faithful,"['grateful', ' faithful', ' proud']",grateful,faithful,proud,2.0
hit:5778_conv:11556,jealous,"['angry', 'annoyed', 'surprised']",angry,annoyed,surprised,
hit:919_conv:1839,anticipating,"['excited', 'impressed', 'hopeful']",excited,impressed,hopeful,
hit:11797_conv:23594,prepared,"['excited', 'hopeful', 'joyful']",excited,hopeful,joyful,
hit:3129_conv:6258,guilty,"['disappointed', 'embarrassed', 'guilty']",disappointed,embarrassed,guilty,3.0
hit:9046_conv:18092,embarrassed,"['embarrassed', ' surprised', ' ashamed']",embarrassed,surprised,ashamed,1.0
hit:952_conv:1904,lonely,"['sad', 'lonely', 'grateful']",sad,lonely,grateful,2.0
hit:1152_conv:2305,confident,"['proud', 'excited', 'hopeful']",proud,excited,hopeful,
hit:11763_conv:23527,disappointed,"['disappointed', 'angry', 'sad']",disappointed,angry,sad,1.0
hit:448_conv:897,faithful,"['faithful', 'hopeful', 'grateful']",faithful,hopeful,grateful,1.0
hit:5272_conv:10544,disgusted,"['disgusted', ' surprised', ' annoyed']",disgusted,surprised,annoyed,1.0
hit:6854_conv:13708,afraid,"['afraid', 'surprised', 'anxious']",afraid,surprised,anxious,1.0
hit:12381_conv:24762,excited,"['excited', 'joyful', 'hopeful']",excited,joyful,hopeful,1.0
hit:6149_conv:12298,angry,"['angry', 'annoyed', 'disappointed']",angry,annoyed,disappointed,1.0
hit:9029_conv:18058,excited,"['excited', ' grateful', ' hopeful']",excited,grateful,hopeful,1.0
hit:11072_conv:22145,lonely,"['lonely', 'sad', 'guilty']",lonely,sad,guilty,1.0
hit:3299_conv:6598,apprehensive,"['angry', 'anxious', 'disgusted']",angry,anxious,disgusted,
hit:440_conv:880,devastated,"['sad', 'guilty', 'anxious']",sad,guilty,anxious,
hit:6860_conv:13720,confident,"['excited', ' hopeful', ' proud']",excited,hopeful,proud,
hit:8983_conv:17966,disappointed,"['sad', ' surprised', ' hopeful']",sad,surprised,hopeful,
hit:10361_conv:20723,disappointed,"['disappointed', 'hopeful', 'excited']",disappointed,hopeful,excited,1.0
hit:11914_conv:23829,prepared,"['prepared', 'hopeful', 'content']",prepared,hopeful,content,1.0
hit:2337_conv:4675,lonely,"['hopeful', ' grateful', ' lonely']",hopeful,grateful,lonely,3.0
hit:2365_conv:4730,apprehensive,"['anxious', ' hopeful', ' content']",anxious,hopeful,content,
hit:5686_conv:11373,angry,"['angry', 'annoyed', 'surprised']",angry,annoyed,surprised,1.0
hit:8921_conv:17842,disgusted,"['disgusted', 'annoyed', 'disappointed']",disgusted,annoyed,disappointed,1.0
hit:10105_conv:20210,trusting,"['disappointed', ' ashamed', ' hopeful']",disappointed,ashamed,hopeful,
hit:10183_conv:20367,trusting,"['faithful', 'hopeful', 'proud']",faithful,hopeful,proud,
hit:7131_conv:14263,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,joyful,content,1.0
hit:11298_conv:22597,apprehensive,"['anxious', 'disappointed', 'lonely']",anxious,disappointed,lonely,
hit:1492_conv:2984,lonely,"['lonely', 'sad', 'hopeful']",lonely,sad,hopeful,1.0
hit:4944_conv:9889,prepared,"['surprised', ' grateful', ' prepared']",surprised,grateful,prepared,3.0
hit:5265_conv:10531,devastated,"['devastated', ' sad', ' hopeful']",devastated,sad,hopeful,1.0
hit:5356_conv:10713,grateful,"['grateful', 'annoyed', 'surprised']",grateful,annoyed,surprised,1.0
hit:6889_conv:13779,anticipating,"['excited', 'hopeful', 'content']",excited,hopeful,content,
hit:11603_conv:23206,joyful,"['excited', 'joyful', 'hopeful']",excited,joyful,hopeful,2.0
hit:11991_conv:23983,prepared,"['proud', ' excited', ' confident']",proud,excited,confident,
hit:1925_conv:3851,hopeful,"['hopeful', ' proud', ' excited']",hopeful,proud,excited,1.0
hit:6821_conv:13642,anticipating,"['excited', 'hopeful', 'nostalgic']",excited,hopeful,nostalgic,
hit:6886_conv:13772,lonely,"['content', 'lonely', 'hopeful']",content,lonely,hopeful,2.0
hit:7794_conv:15589,disgusted,"['disgusted', 'terrified', 'sad']",disgusted,terrified,sad,1.0
hit:1886_conv:3773,hopeful,"['excited', 'hopeful', 'content']",excited,hopeful,content,2.0
hit:1972_conv:3945,excited,"['excited', 'hopeful', 'joyful']",excited,hopeful,joyful,1.0
hit:4985_conv:9971,hopeful,"['excited', 'hopeful', 'content']",excited,hopeful,content,2.0
hit:5339_conv:10678,nostalgic,"['nostalgic', 'lonely', 'hopeful']",nostalgic,lonely,hopeful,1.0
hit:8854_conv:17709,anticipating,"['excited', 'hopeful', 'confident']",excited,hopeful,confident,
hit:1694_conv:3389,anticipating,"['excited', 'hopeful', 'joyful']",excited,hopeful,joyful,
hit:1880_conv:3761,nostalgic,"['nostalgic', ' joyful', ' excited']",nostalgic,joyful,excited,1.0
hit:24_conv:49,excited,"['joyful', 'nostalgic', 'hopeful']",joyful,nostalgic,hopeful,
hit:2931_conv:5862,terrified,"['terrified', ' surprised', ' disgusted']",terrified,surprised,disgusted,1.0
hit:12138_conv:24276,caring,"['grateful', ' hopeful', ' caring']",grateful,hopeful,caring,3.0
hit:4777_conv:9554,apprehensive,"['afraid', 'surprised', 'sad']",afraid,surprised,sad,
hit:6368_conv:12737,disappointed,"['annoyed', 'proud', 'hopeful']",annoyed,proud,hopeful,
hit:8979_conv:17959,lonely,"['sad', ' nostalgic', ' grateful']",sad,nostalgic,grateful,
hit:11364_conv:22728,proud,"['proud', 'grateful', 'impressed']",proud,grateful,impressed,1.0
hit:12046_conv:24093,confident,"['anxious', ' hopeful', ' caring']",anxious,hopeful,caring,
hit:251_conv:503,confident,"['excited', ' proud', ' prepared']",excited,proud,prepared,
hit:379_conv:758,excited,"['surprised', ' excited', ' proud']",surprised,excited,proud,2.0
hit:7825_conv:15651,lonely,"['grateful', 'lonely', 'content']",grateful,lonely,content,2.0
hit:10065_conv:20130,embarrassed,"['disappointed', 'sad', 'hopeful']",disappointed,sad,hopeful,
hit:1605_conv:3210,surprised,"['surprised', ' grateful', ' excited']",surprised,grateful,excited,1.0
hit:4295_conv:8591,embarrassed,"['embarrassed', ' joyful', ' surprised']",embarrassed,joyful,surprised,1.0
hit:6092_conv:12184,content,"['content', 'jealous', 'hopeful']",content,jealous,hopeful,1.0
hit:6847_conv:13694,lonely,"['lonely', 'disappointed', 'embarrassed']",lonely,disappointed,embarrassed,1.0
hit:8058_conv:16116,hopeful,"['excited', 'anxious', 'hopeful']",excited,anxious,hopeful,3.0
hit:11015_conv:22031,apprehensive,"['sad', ' hopeful', ' grateful']",sad,hopeful,grateful,
hit:12074_conv:24149,confident,"['excited', ' confident', ' proud']",excited,confident,proud,2.0
hit:3724_conv:7449,disgusted,"['disgusted', 'embarrassed', 'grateful']",disgusted,embarrassed,grateful,1.0
hit:9739_conv:19479,surprised,"['surprised', 'disappointed', 'hopeful']",surprised,disappointed,hopeful,1.0
hit:2842_conv:5685,anticipating,"['excited', 'hopeful', 'anticipating']",excited,hopeful,anticipating,3.0
hit:2941_conv:5883,ashamed,"['surprised', 'guilty', 'embarrassed']",surprised,guilty,embarrassed,
hit:4344_conv:8689,surprised,"['surprised', ' grateful', ' hopeful']",surprised,grateful,hopeful,1.0
hit:4745_conv:9490,proud,"['proud', 'hopeful', 'content']",proud,hopeful,content,1.0
hit:8657_conv:17315,disgusted,"['disgusted', 'surprised', 'angry']",disgusted,surprised,angry,1.0
hit:10014_conv:20029,sad,"['sad', ' nostalgic', ' disappointed']",sad,nostalgic,disappointed,1.0
hit:1271_conv:2542,anxious,"['anxious', 'hopeful', 'content']",anxious,hopeful,content,1.0
hit:1719_conv:3438,joyful,"['joyful', 'surprised', 'grateful']",joyful,surprised,grateful,1.0
hit:6456_conv:12912,guilty,"['guilty', 'sad', 'anxious']",guilty,sad,anxious,1.0
hit:6490_conv:12981,anticipating,"['excited', 'hopeful', 'anticipating']",excited,hopeful,anticipating,3.0
hit:4060_conv:8121,nostalgic,"['nostalgic', 'hopeful', 'content']",nostalgic,hopeful,content,1.0
hit:5287_conv:10575,lonely,"['lonely', 'sad', 'angry']",lonely,sad,angry,1.0
hit:8987_conv:17974,devastated,"['devastated', 'sad', 'hopeful']",devastated,sad,hopeful,1.0
hit:9960_conv:19920,content,"['proud', ' hopeful', ' grateful']",proud,hopeful,grateful,
hit:10191_conv:20382,apprehensive,"['disappointed', 'surprised', 'hopeful']",disappointed,surprised,hopeful,
hit:11085_conv:22170,joyful,"['proud', 'excited', 'hopeful']",proud,excited,hopeful,
hit:1361_conv:2723,sad,"['sad', ' nostalgic', ' lonely']",sad,nostalgic,lonely,1.0
hit:4282_conv:8565,nostalgic,"['sad', 'disappointed', 'nostalgic']",sad,disappointed,nostalgic,3.0
hit:1503_conv:3006,annoyed,"['disgusted', 'surprised', 'annoyed']",disgusted,surprised,annoyed,3.0
hit:1813_conv:3627,hopeful,"['anxious', 'hopeful', 'prepared']",anxious,hopeful,prepared,2.0
hit:4389_conv:8779,impressed,"['impressed', 'excited', 'surprised']",impressed,excited,surprised,1.0
hit:4975_conv:9950,proud,"['excited', 'grateful', 'hopeful']",excited,grateful,hopeful,
hit:670_conv:1340,proud,"['proud', 'excited', 'hopeful']",proud,excited,hopeful,1.0
hit:8617_conv:17234,guilty,"['guilty', ' nostalgic', ' ashamed']",guilty,nostalgic,ashamed,1.0
hit:1147_conv:2295,surprised,"['surprised', 'excited', 'grateful']",surprised,excited,grateful,1.0
hit:12176_conv:24352,faithful,"['proud', 'hopeful', 'content']",proud,hopeful,content,
hit:3955_conv:7910,sentimental,"['nostalgic', 'sad', 'grateful']",nostalgic,sad,grateful,
hit:6883_conv:13766,surprised,"['surprised', 'excited', 'joyful']",surprised,excited,joyful,1.0
hit:8593_conv:17187,prepared,"['confident', ' hopeful', ' annoyed']",confident,hopeful,annoyed,
hit:1198_conv:2396,afraid,"['terrified', 'surprised', 'anxious']",terrified,surprised,anxious,
hit:3756_conv:7513,excited,"['nostalgic', ' grateful', ' proud']",nostalgic,grateful,proud,
hit:4977_conv:9954,confident,"['excited', ' proud', ' hopeful']",excited,proud,hopeful,
hit:9008_conv:18016,embarrassed,"['embarrassed', ' annoyed', ' hopeful']",embarrassed,annoyed,hopeful,1.0
hit:11723_conv:23447,terrified,"['anxious', 'afraid', 'surprised']",anxious,afraid,surprised,
hit:2531_conv:5063,anxious,"['anxious', ' afraid', ' trusting']",anxious,afraid,trusting,1.0
hit:4652_conv:9305,disgusted,"['disgusted', 'annoyed', 'disappointed']",disgusted,annoyed,disappointed,1.0
hit:6184_conv:12369,furious,"['angry', 'annoyed', 'disgusted']",angry,annoyed,disgusted,
hit:6689_conv:13378,impressed,"['disappointed', 'surprised', 'hopeful']",disappointed,surprised,hopeful,
hit:8648_conv:17297,proud,"['excited', 'proud', 'hopeful']",excited,proud,hopeful,2.0
hit:10774_conv:21548,devastated,"['sad', 'grateful', 'proud']",sad,grateful,proud,
hit:2277_conv:4555,confident,"['proud', ' hopeful', ' confident']",proud,hopeful,confident,3.0
hit:6366_conv:12732,excited,"['excited', ' hopeful', ' guilty']",excited,hopeful,guilty,1.0
hit:7100_conv:14200,ashamed,"['guilty', ' ashamed', ' surprised']",guilty,ashamed,surprised,2.0
hit:7358_conv:14717,furious,"['angry', 'annoyed', 'grateful']",angry,annoyed,grateful,
hit:9466_conv:18932,devastated,"['sad', 'disappointed', 'sentimental']",sad,disappointed,sentimental,
hit:10789_conv:21578,devastated,"['devastated', ' sad', ' nostalgic']",devastated,sad,nostalgic,1.0
hit:1348_conv:2696,sad,"['sad', ' hopeful', ' proud']",sad,hopeful,proud,1.0
hit:5017_conv:10034,caring,"['proud', 'caring', 'impressed']",proud,caring,impressed,2.0
hit:6165_conv:12330,confident,"['confident', 'proud', 'hopeful']",confident,proud,hopeful,1.0
hit:7558_conv:15117,sad,"['sad', ' nostalgic', ' hopeful']",sad,nostalgic,hopeful,1.0
hit:7914_conv:15828,disgusted,"['disgusted', 'annoyed', 'surprised']",disgusted,annoyed,surprised,1.0
hit:8931_conv:17862,lonely,"['lonely', 'hopeful', 'anticipating']",lonely,hopeful,anticipating,1.0
hit:1950_conv:3901,guilty,"['guilty', 'afraid', 'surprised']",guilty,afraid,surprised,1.0
hit:45_conv:91,furious,"['afraid', 'anxious', 'hopeful']",afraid,anxious,hopeful,
hit:8094_conv:16188,hopeful,"['excited', ' hopeful', ' trusting']",excited,hopeful,trusting,2.0
